Term,Frequency
covid_19,7100
infection,1684
coronavirus_2019,1408
infected,1088
pneumonia,776
fever,601
deaths,572
mortality,557
infections,484
death,441
sars_cov_2_infection,407
cough,359
coronavirus,333
infectious,302
infectiouss,278
cancer,274
novel_coronavirus_pneumonia,270
sars,251
acute_respiratory_distress_syndrome,247
severe_acute_respiratory_syndrome,219
novel_coronavirus,217
critically_ill,208
mers,201
middle_east_respiratory_syndrome,188
fatigue,182
diabetes,178
covid_19_pneumonia,176
hypertension,173
died,170
ards,166
respiratory_failure,160
2019_ncov_infection,159
covid,158
anxiety,157
respiratory_symptoms,157
acute_respiratory_syndrome,145
inflammation,140
2019_ncov,139
diarrhea,134
viral_infection,128
coronavirus_infection,126
dyspnea,126
novel_coronavirus_infected_pneumonia,126
respiratory,124
zoonotic,121
coronavirus_,116
2019_novel_coronavirus,115
cardiovascular,108
2019_novel_coronavirus_infected_pneumonia,104
shortness_of_breath,104
respiratory_illness,100
dry_cough,97
corona_virus_2019,95
stress,89
coronavirus_19,87
cov_2_infection,84
myalgia,83
virus_infection,82
headache,81
coronavirus_infections,80
respiratory_infection,78
lymphopenia,77
_infection,76
viral_infections,74
vomiting,73
sore_throat,71
2019_novel_coronavirus_infection,70
depression,69
covid_2019,68
novel_coronavirus_infection,65
respiratory_infections,60
lung_injury,58
coughing,55
2019_ncov_pneumonia,53
nausea,53
sepsis,53
sars_cov_2_infections,52
diabetes_mellitus,51
malaria,51
covid19,50
respiratorys,50
septic_shock,50
pain,49
sars_cov_2_infected,48
_pneumonia,47
cross_infection,46
respiratory_distress,46
respiratory_syndrome,46
trauma,46
obesity,45
gastrointestinal_symptoms,43
ncp,43
nosocomial_infection,43
myocarditis,42
sars_cov_2_pneumonia,42
new_coronavirus_pneumonia,41
cardiovasculars,40
heart_failure,40
hiv,40
psychiatric,40
myocardial_injury,39
toxicity,39
diarrhoea,38
myocardial_infarction,36
novel_coronavirus_2019,36
2019_coronavirus,34
anosmia,34
cardiac_injury,34
2019_novel_coronaviruss,33
cold,33
lung_cancer,33
tumor,33
dyspnoea,32
acute_kidney_injury,31
chronics,31
hypoxemia,31
hypoxia,31
abdominal_pain,30
fibrosis,30
2019_ncov_infected,29
cancers,29
novel_coronavirus_infections,29
pleural_effusion,29
thrombosis,29
liver_injury,28
sars_cov_infection,28
common_cold,27
lung,27
shock,27
thrombocytopenia,27
_infections,26
coronavirus_pneumonia,26
critical_illness,26
virus,26
coagulopathy,25
cov_infection,25
dizziness,25
respiratory_tract_infections,25
tuberculosis,25
2019_ncov_infections,24
aids,24
pulmonary_embolism,24
rheumatics,24
viral,24
bleeding,23
new_coronavirus_infection,23
insomnia,22
organ_failure,22
stroke,22
anorexia,21
breast_cancer,21
chest_pain,21
chronic_obstructive_pulmonary,21
diabetic,21
disseminated_intravascular_coagulation,21
inflammatory_bowel,21
neck_cancer,21
respiratory_tract_infection,21
secondary_infections,21
2019_,20
malignancies,20
mental_disorders,20
psoriasis,20
rheumatoid_arthritis,20
asthma,19
conjunctivitis,19
lymphocytopenia,19
malignancy,19
multiple_organ_failure,19
new_coronavirus,19
sars_coronavirus_infection,19
allergy,18
cardiac_arrest,18
chronic_kidney,18
copd,18
dic,18
edema,18
rhinorrhea,18
upper_respiratory_tract_infection,18
venous_thromboembolism,18
chest_tightness,17
co_infection,17
colorectal_cancer,17
coronary_heart,17
heart,17
lymphadenopathy,17
nosocomial_infections,17
secondary_infection,17
tumors,17
virals,17
virus_infections,17
_infected_pneumonia,16
anxious,16
arrhythmia,16
fits,16
liver,16
pulmonary_lesions,16
respiratory_illnesses,16
traumatic_stress_disorder,16
chronic,15
corona_virus,15
delirium,15
hypertensive,15
hypotension,15
leukopenia,15
multi_organ_failure,15
